t_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,throttle_us,motor_us,m1,m2,m3,m4,mode,rc_roll,rc_pitch,rc_throttle,rc_yaw,rc_age_us,att_sp_roll,att_sp_pitch,att_sp_yaw,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_meas_roll,rate_meas_pitch,rate_meas_yaw,rate_out_roll,rate_out_pitch,rate_out_yaw
32348521,0.055,0.120,1.028,0.32,4.30,1.38,1.02,-2.75,1260,1260,1313,1215,1251,1261,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.41,-1.02,2.75,0.00,0.32,4.30,1.38,-27.29,4.04,-22.08
32352521,0.061,0.015,1.041,-1.09,4.02,1.69,1.00,-2.77,1260,1260,1302,1250,1262,1226,0,1500,1500,1260,1500,4294967283,0.00,0.00,1.42,-1.00,2.77,0.00,-1.09,4.02,1.69,-4.49,16.71,-22.76
32356521,0.096,0.058,1.094,0.27,4.39,1.63,1.03,-2.79,1260,1260,1319,1223,1245,1253,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.43,-1.03,2.79,0.00,0.27,4.39,1.63,-26.82,11.49,-22.74
32360521,-0.014,0.045,1.250,-0.75,4.14,1.48,1.04,-2.73,1260,1260,1304,1246,1260,1230,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.43,-1.04,2.73,0.00,-0.75,4.14,1.48,-7.96,15.67,-22.49
32364521,-0.027,0.062,1.104,-1.57,1.46,1.38,1.06,-2.68,1260,1260,1326,1266,1238,1210,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.44,-1.06,2.68,0.00,-1.57,1.46,1.38,-8.86,36.16,-22.37
32368521,0.008,0.147,0.890,-0.05,2.52,1.24,1.10,-2.66,1260,1260,1316,1218,1248,1258,0,1500,1500,1260,1500,4294967283,0.00,0.00,1.44,-1.10,2.66,0.00,-0.05,2.52,1.24,-27.89,7.46,-22.14
32372521,-0.039,0.030,0.981,-0.83,3.92,1.25,1.10,-2.60,1260,1260,1294,1232,1270,1244,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.45,-1.10,2.60,0.00,-0.83,3.92,1.25,-9.77,3.40,-22.23
32376521,0.060,-0.070,0.913,-1.26,1.77,1.16,1.05,-2.60,1260,1260,1325,1259,1239,1217,0,1500,1500,1260,1500,4294967285,0.00,0.00,1.45,-1.05,2.60,0.00,-1.26,1.77,1.16,-11.55,32.18,-22.10
32380521,0.090,0.023,0.934,-0.76,1.84,0.58,1.05,-2.64,1260,1260,1314,1236,1246,1244,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.45,-1.05,2.64,0.00,-0.76,1.84,0.58,-19.38,15.79,-20.96
32384521,-0.114,0.010,1.169,-0.97,3.03,0.78,1.05,-2.58,1260,1260,1299,1231,1263,1247,0,1500,1500,1260,1500,4294967283,0.00,0.00,1.46,-1.05,2.58,0.00,-0.97,3.03,0.78,-13.72,5.77,-21.40
32388521,-0.131,0.029,1.105,-0.58,0.90,1.17,1.05,-2.53,1260,1260,1332,1252,1232,1224,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.46,-1.05,2.53,0.00,-0.58,0.90,1.17,-18.69,32.32,-22.25
32392521,-0.076,0.114,0.881,-0.08,1.15,0.66,1.08,-2.50,1260,1260,1315,1233,1247,1245,0,1500,1500,1260,1500,4294967285,0.00,0.00,1.46,-1.08,2.50,0.00,-0.08,1.15,0.66,-20.10,14.39,-21.25
32396521,-0.056,-0.047,1.026,-0.23,3.03,0.36,1.05,-2.45,1260,1260,1294,1226,1266,1254,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.47,-1.05,2.45,0.00,-0.23,3.03,0.36,-14.72,0.50,-20.67
32400521,0.004,-0.099,0.970,-0.36,1.55,0.63,1.00,-2.43,1260,1260,1322,1252,1240,1226,0,1500,1500,1260,1500,4294967283,0.00,0.00,1.47,-1.00,2.43,0.00,-0.36,1.55,0.63,-14.57,27.08,-21.24
32404521,0.103,-0.046,1.032,-0.32,1.31,0.41,0.97,-2.45,1260,1260,1313,1243,1247,1237,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.47,-0.97,2.45,0.00,-0.32,1.31,0.41,-15.91,18.35,-20.82
32408521,-0.013,-0.054,1.188,0.10,1.99,0.00,0.93,-2.41,1260,1260,1309,1231,1251,1249,0,1500,1500,1260,1500,4294967285,0.00,0.00,1.48,-0.93,2.41,0.00,0.10,1.99,0.00,-19.16,10.48,-20.01
32412521,-0.067,-0.015,1.105,0.47,0.58,-0.09,0.92,-2.37,1260,1260,1325,1249,1233,1233,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.48,-0.92,2.37,0.00,0.47,0.58,-0.09,-19.20,27.15,-19.81
32416521,0.037,0.029,0.987,0.57,0.69,-0.01,0.97,-2.35,1260,1260,1311,1239,1247,1243,0,1500,1500,1260,1500,4294967283,0.00,0.00,1.47,-0.97,2.35,0.00,0.57,0.69,-0.01,-17.81,15.85,-19.98
32420521,0.074,-0.034,1.003,0.76,1.98,-0.16,0.93,-2.37,1260,1260,1302,1230,1256,1252,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.48,-0.93,2.37,0.00,0.76,1.98,-0.16,-17.91,6.36,-19.66
32424521,0.043,-0.062,0.982,0.78,1.29,-0.24,0.89,-2.36,1260,1260,1316,1246,1242,1236,0,1500,1500,1260,1500,4294967285,0.00,0.00,1.48,-0.89,2.36,0.00,0.78,1.29,-0.24,-16.66,21.48,-19.49
32428521,0.100,-0.068,1.075,0.45,0.94,-0.13,0.85,-2.39,1260,1260,1311,1247,1247,1235,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.48,-0.85,2.39,0.00,0.45,0.94,-0.13,-13.81,19.54,-19.72
32432521,0.029,0.022,1.070,0.66,1.04,-0.40,0.88,-2.34,1260,1260,1312,1238,1246,1244,0,1500,1500,1260,1500,4294967283,0.00,0.00,1.48,-0.88,2.34,0.00,0.66,1.04,-0.40,-18.48,15.48,-19.15
32436521,-0.025,0.035,1.104,0.93,0.53,-0.85,0.89,-2.29,1260,1260,1317,1243,1239,1241,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.47,-0.89,2.29,0.00,0.93,0.53,-0.85,-19.13,20.54,-18.21
32440521,0.023,0.029,1.014,0.91,0.26,-0.61,0.92,-2.25,1259,1259,1312,1242,1242,1240,0,1500,1500,1259,1500,4294967285,0.00,0.00,1.47,-0.92,2.25,0.00,0.91,0.26,-0.61,-17.10,18.97,-18.65
32444521,0.051,-0.015,0.986,-0.13,1.22,-0.14,0.88,-2.27,1259,1259,1295,1241,1261,1239,0,1500,1500,1259,1500,4294967284,0.00,0.00,1.47,-0.88,2.27,0.00,-0.13,1.22,-0.14,-8.08,9.34,-19.59
32448521,0.030,-0.074,0.960,0.10,1.30,-0.33,0.83,-2.26,1259,1259,1310,1238,1246,1242,0,1500,1500,1259,1500,4294967283,0.00,0.00,1.47,-0.83,2.26,0.00,0.10,1.30,-0.33,-17.68,15.73,-19.20
32452521,0.027,-0.030,0.929,0.21,0.51,-0.62,0.79,-2.25,1260,1260,1316,1248,1240,1236,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.47,-0.79,2.25,0.00,0.21,0.51,-0.62,-16.91,22.86,-18.58
32456521,-0.016,-0.002,1.050,-1.08,0.74,-0.61,0.77,-2.20,1260,1260,1297,1251,1259,1233,0,1500,1500,1260,1500,4294967285,0.00,0.00,1.47,-0.77,2.20,0.00,-1.08,0.74,-0.61,-5.53,14.77,-18.57
32460521,-0.011,0.041,1.119,-0.64,0.53,-0.74,0.79,-2.15,1260,1260,1315,1241,1241,1243,0,1500,1500,1260,1500,4294967282,0.00,0.00,1.46,-0.79,2.15,0.00,-0.64,0.53,-0.74,-19.13,18.27,-18.29
32464521,-0.007,0.114,1.026,-0.30,0.24,-0.65,0.83,-2.13,1259,1259,1314,1242,1240,1240,0,1500,1500,1259,1500,4294967283,0.00,0.00,1.46,-0.83,2.13,0.00,-0.30,0.24,-0.65,-18.91,19.32,-18.44
32468521,-0.034,0.028,0.974,-2.23,1.11,0.12,0.83,-2.08,1259,1259,1287,1249,1269,1231,0,1500,1500,1259,1500,4294967284,0.00,0.00,1.46,-0.83,2.08,0.00,-2.23,1.11,0.12,0.00,9.60,-19.98
32472521,-0.002,-0.026,0.866,-1.50,0.91,0.24,0.79,-2.05,1260,1260,1317,1237,1243,1243,0,1500,1500,1260,1500,4294967285,0.00,0.00,1.46,-0.79,2.05,0.00,-1.50,0.91,0.24,-20.16,17.95,-20.24
32476521,0.033,0.027,0.865,-0.98,0.95,-0.57,0.83,-2.05,1259,1259,1312,1238,1242,1244,0,1500,1500,1259,1500,4294967284,0.00,0.00,1.46,-0.83,2.05,0.00,-0.98,0.95,-0.57,-19.68,16.34,-18.58
32480521,-0.048,-0.018,1.040,-2.67,1.34,-0.57,0.80,-2.01,1259,1259,1291,1253,1263,1229,0,1500,1500,1259,1500,4294967283,0.00,0.00,1.46,-0.80,2.01,0.00,-2.67,1.34,-0.57,-1.19,13.05,-18.56
32484521,-0.004,0.070,1.150,-1.89,0.55,-0.18,0.83,-1.98,1259,1259,1320,1242,1236,1238,0,1500,1500,1259,1500,4294967284,0.00,0.00,1.45,-0.83,1.98,0.00,-1.89,0.55,-0.18,-20.71,22.61,-19.33
32488521,-0.019,0.104,1.109,-1.92,0.99,-0.34,0.86,-1.95,1260,1260,1305,1241,1251,1243,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.45,-0.86,1.95,0.00,-1.92,0.99,-0.34,-14.71,13.10,-18.99
32492521,-0.107,0.013,1.013,-2.86,1.33,0.24,0.85,-1.90,1260,1260,1299,1247,1261,1233,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.45,-0.85,1.90,0.00,-2.86,1.33,0.24,-6.73,13.34,-20.17
32496521,-0.054,-0.037,0.843,-2.37,1.17,0.43,0.82,-1.85,1260,1260,1314,1240,1246,1240,0,1500,1500,1260,1500,4294967283,0.00,0.00,1.46,-0.82,1.85,0.00,-2.37,1.17,0.43,-17.66,17.23,-20.55
32500521,0.038,-0.069,0.928,-2.56,1.95,-0.45,0.76,-1.85,1260,1260,1299,1239,1257,1245,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.46,-0.76,1.85,0.00,-2.56,1.95,-0.45,-12.14,9.89,-18.78
32504521,-0.041,-0.097,1.096,-2.30,1.44,-0.45,0.71,-1.82,1259,1259,1311,1245,1243,1237,0,1500,1500,1259,1500,4294967285,0.00,0.00,1.46,-0.71,1.82,0.00,-2.30,1.44,-0.45,-15.82,19.71,-18.76
32508521,-0.082,-0.022,1.171,-2.48,1.78,-0.22,0.69,-1.77,1260,1260,1303,1241,1255,1241,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.45,-0.69,1.77,0.00,-2.48,1.78,-0.22,-12.41,12.88,-19.21
32512521,-0.093,0.073,1.213,-2.23,1.89,-0.30,0.70,-1.72,1260,1260,1309,1239,1249,1243,0,1500,1500,1260,1500,4294967283,0.00,0.00,1.45,-0.70,1.72,0.00,-2.23,1.89,-0.30,-16.10,14.54,-19.03
32516521,-0.100,0.070,1.046,-1.79,1.83,-0.01,0.71,-1.67,1260,1260,1311,1239,1247,1243,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.45,-0.71,1.67,0.00,-1.79,1.83,-0.01,-17.92,15.78,-19.62
32520521,-0.105,0.004,0.862,-2.37,2.91,-0.21,0.70,-1.61,1260,1260,1294,1238,1264,1244,0,1500,1500,1260,1500,4294967285,0.00,0.00,1.45,-0.70,1.61,0.00,-2.37,2.91,-0.21,-9.61,6.19,-19.20
32524521,-0.027,-0.050,0.955,-2.02,2.89,-0.46,0.66,-1.57,1260,1260,1308,1240,1248,1244,0,1500,1500,1260,1500,4294967284,0.00,0.00,1.45,-0.66,1.57,0.00,-2.02,2.89,-0.46,-16.54,14.61,-18.68
32528521,-0.006,-0.100,1.040,-1.99,3.06,-0.57,0.60,-1.54,1260,1260,1305,1241,1251,1243,0,1500,1500,1260,1500,4294967283,0.00,0.00,1.45,-0.60,1.54,0.00,-1.99,3.06,-0.57,-14.02,13.10,-18.44
