t_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,throttle_us,motor_us,m1,m2,m3,m4,mode,rc_roll,rc_pitch,rc_throttle,rc_yaw,rc_age_us,att_sp_roll,att_sp_pitch,att_sp_yaw,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_meas_roll,rate_meas_pitch,rate_meas_yaw,rate_out_roll,rate_out_pitch,rate_out_yaw
3604447,0.001,-0.001,0.835,0.01,-0.02,-0.00,-0.09,-0.02,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,6983,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11064447,0.001,0.000,0.999,-0.01,0.00,0.00,0.01,-0.04,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,994,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11068447,0.001,-0.000,0.999,-0.02,0.01,0.01,-0.01,-0.06,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,994,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11072447,0.001,-0.000,0.999,-0.02,0.01,0.00,0.01,-0.04,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,993,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11076447,0.001,0.000,0.999,-0.01,0.02,-0.00,0.03,-0.04,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,992,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11080447,0.001,0.000,0.999,-0.02,0.03,0.01,0.03,-0.05,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,993,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11084447,0.001,0.000,0.999,-0.01,0.03,0.01,0.02,-0.07,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,995,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11088447,0.001,0.000,0.999,-0.01,0.02,0.01,0.02,-0.07,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,994,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11092447,0.002,0.000,0.999,-0.01,0.02,0.00,0.02,-0.09,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,991,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11096447,0.002,0.000,0.999,-0.01,0.01,-0.00,0.01,-0.09,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,995,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11100447,0.002,0.000,1.000,0.01,0.01,-0.00,0.02,-0.08,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,993,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11104447,0.001,0.000,1.000,0.00,0.01,-0.01,0.03,-0.06,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,992,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11108447,0.001,0.001,1.001,0.00,0.01,-0.01,0.03,-0.06,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,992,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11112447,0.001,0.001,1.001,0.01,0.01,-0.01,0.04,-0.03,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,995,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11116447,-0.000,0.001,1.000,0.01,0.01,0.00,0.04,-0.00,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,993,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11120447,-0.000,0.000,1.000,0.01,0.01,0.01,0.03,0.02,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,991,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11124447,-0.001,0.000,1.000,0.02,0.01,0.01,0.02,0.04,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,993,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11128447,-0.001,0.000,1.000,0.01,0.01,0.00,0.02,0.04,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,993,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11132447,-0.000,0.000,1.000,0.01,0.02,-0.00,0.01,0.01,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,994,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11136447,0.000,-0.000,1.000,0.00,0.01,-0.00,-0.01,-0.01,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,992,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11140447,0.000,-0.000,1.000,-0.00,0.01,-0.01,-0.01,-0.02,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,993,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11144447,0.000,0.001,1.000,-0.01,-0.00,-0.01,0.04,-0.01,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,992,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11148447,-0.000,0.001,0.999,-0.01,-0.00,-0.01,0.05,0.00,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,994,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11152447,0.000,0.001,0.999,-0.00,-0.00,-0.02,0.06,-0.00,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,992,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11156447,0.000,0.001,0.999,-0.01,-0.01,-0.01,0.08,-0.03,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,992,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11160447,0.001,0.001,0.999,0.00,-0.02,-0.01,0.07,-0.06,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,995,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11164447,0.002,0.001,0.999,-0.00,-0.02,-0.02,0.04,-0.09,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,993,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11168447,0.001,0.000,0.999,0.00,-0.02,-0.01,-0.00,-0.08,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,993,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11172447,0.002,0.000,0.999,0.01,-0.01,-0.01,0.01,-0.10,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,992,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11176447,0.002,0.000,0.999,0.01,-0.01,-0.01,0.02,-0.10,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,994,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11180447,0.001,0.000,1.000,0.01,-0.02,-0.01,0.02,-0.07,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,992,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
