t_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,throttle_us,motor_us,m1,m2,m3,m4,mode,rc_roll,rc_pitch,rc_throttle,rc_yaw,rc_age_us,att_sp_roll,att_sp_pitch,att_sp_yaw,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_meas_roll,rate_meas_pitch,rate_meas_yaw,rate_out_roll,rate_out_pitch,rate_out_yaw
65432522,0.257,-0.181,1.005,-0.46,1.35,-2.31,-5.52,-16.32,1203,1203,1231,1267,1167,1147,0,1500,1950,1203,1500,4294967284,0.00,27.00,-5.21,3.87,30.32,0.00,-0.46,1.35,-2.31,14.91,46.12,4.17
65436522,0.255,-0.184,1.005,0.59,0.75,-2.27,-5.56,-16.30,1203,1203,1297,1199,1109,1207,0,1500,1948,1203,1500,4294967283,0.00,26.88,-5.21,3.89,30.23,0.00,0.59,0.75,-2.27,-49.20,45.66,0.53
65440522,0.257,-0.095,1.091,0.72,0.61,-2.50,-5.55,-16.25,1203,1203,1211,1217,1181,1203,0,1500,1941,1203,1500,4294967284,0.00,26.46,-5.23,3.88,29.90,0.00,0.72,0.61,-2.50,-4.74,11.53,7.49
65444522,0.230,-0.048,1.020,0.31,-0.37,-2.13,-5.51,-16.22,1203,1203,1257,1285,1163,1107,0,1500,1941,1203,1500,4294967282,0.00,26.46,-5.24,3.86,29.88,0.00,0.31,-0.37,-2.13,21.83,68.84,-7.58
65448522,0.208,-0.056,0.886,0.71,-0.55,-1.53,-5.49,-16.19,1203,1203,1261,1197,1173,1181,0,1500,1940,1203,1500,4294967284,0.00,26.40,-5.25,3.84,29.81,0.00,0.71,-0.55,-1.53,-18.49,26.95,-14.07
65452522,0.231,-0.012,1.022,1.05,-0.14,-1.52,-5.44,-16.16,1203,1203,1219,1187,1187,1219,0,1500,1940,1203,1500,4294967283,0.00,26.40,-5.27,3.81,29.79,0.00,1.05,-0.14,-1.52,-16.66,-0.16,0.93
65456522,0.227,0.004,0.962,0.96,-0.95,-1.40,-5.40,-16.15,1203,1203,1262,1266,1148,1136,0,1500,1940,1203,1500,4294967284,0.00,26.40,-5.29,3.78,29.78,0.00,0.96,-0.95,-1.40,4.91,61.16,-2.03
65460522,0.262,-0.103,0.922,1.02,-0.88,-1.12,-5.43,-16.13,1203,1203,1226,1214,1192,1180,0,1500,1940,1203,1500,4294967285,0.00,26.40,-5.28,3.80,29.77,0.00,1.02,-0.88,-1.12,0.06,17.39,-6.22
65464522,0.286,-0.109,1.070,1.36,-0.76,-1.42,-5.44,-16.09,1203,1203,1222,1208,1168,1214,0,1500,1939,1203,1500,4294967284,0.00,26.34,-5.28,3.81,29.70,0.00,1.36,-0.76,-1.42,-15.25,12.13,8.38
65468522,0.230,-0.102,1.003,1.11,-1.48,-1.42,-5.44,-16.06,1203,1203,1225,1255,1179,1153,0,1500,1930,1203,1500,4294967283,0.00,25.80,-5.29,3.81,29.30,0.00,1.11,-1.48,-1.42,14.46,37.35,1.17
65472522,0.187,-0.144,0.983,1.25,-2.05,-0.92,-5.46,-16.02,1203,1203,1267,1237,1161,1147,0,1500,1930,1203,1500,4294967284,0.00,25.80,-5.28,3.82,29.28,0.00,1.25,-2.05,-0.92,-4.27,49.45,-11.86
65476522,0.139,-0.090,1.023,1.55,-2.03,-0.81,-5.45,-15.99,1203,1203,1233,1203,1177,1199,0,1500,1928,1203,1500,4294967285,0.00,25.68,-5.29,3.81,29.17,0.00,1.55,-2.03,-0.81,-13.78,15.21,-2.28
65480522,0.161,-0.017,1.008,1.04,-2.04,-0.70,-5.42,-15.96,1203,1203,1200,1248,1210,1154,0,1500,1928,1203,1500,4294967284,0.00,25.68,-5.30,3.79,29.15,0.00,1.04,-2.04,-0.70,26.16,21.37,-2.29
65484522,0.197,-0.047,0.996,0.84,-2.29,-0.14,-5.39,-15.93,1203,1203,1221,1217,1211,1163,0,1500,1920,1203,1500,4294967283,0.00,25.20,-5.30,3.77,28.79,0.00,0.84,-2.29,-0.14,11.43,16.42,-13.77
65488522,0.228,-0.093,0.961,1.23,-2.18,0.02,-5.39,-15.90,1203,1203,1238,1196,1176,1202,0,1500,1920,1203,1500,4294967284,0.00,25.20,-5.30,3.77,28.77,0.00,1.23,-2.18,0.02,-17.78,14.92,-4.24
65492522,0.226,-0.079,0.995,0.77,-1.93,-0.04,-5.37,-15.86,1203,1203,1165,1215,1239,1193,0,1500,1910,1203,1500,4294967285,0.00,24.60,-5.30,3.76,28.32,0.00,0.77,-1.93,-0.04,24.19,-13.67,1.58
65496522,0.192,-0.093,0.989,0.51,-2.06,0.30,-5.37,-15.82,1203,1203,1222,1236,1200,1154,0,1500,1910,1203,1500,4294967284,0.00,24.60,-5.30,3.76,28.30,0.00,0.51,-2.06,0.30,15.42,26.50,-8.65
65500522,0.130,-0.126,0.981,0.93,-2.50,0.66,-5.38,-15.79,1203,1203,1268,1214,1156,1174,0,1500,1908,1203,1500,4294967283,0.00,24.48,-5.29,3.77,28.19,0.00,0.93,-2.50,0.66,-18.75,38.35,-9.48
65504522,0.126,-0.029,1.056,1.14,-2.39,0.58,-5.36,-15.76,1203,1203,1205,1189,1199,1219,0,1500,1898,1203,1500,4294967284,0.00,23.88,-5.29,3.75,27.75,0.00,1.14,-2.39,0.58,-9.39,-6.53,1.70
65508522,0.087,-0.009,0.999,0.59,-2.34,0.83,-5.34,-15.73,1203,1203,1198,1242,1220,1152,0,1500,1898,1203,1500,4294967285,0.00,23.88,-5.30,3.74,27.73,0.00,0.59,-2.34,0.83,28.74,17.38,-6.85
65512522,0.130,-0.059,0.861,0.71,-2.45,1.25,-5.33,-15.69,1203,1203,1240,1212,1188,1172,0,1500,1897,1203,1500,4294967284,0.00,23.82,-5.29,3.73,27.66,0.00,0.71,-2.45,1.25,-3.77,23.25,-11.33
65516522,0.220,-0.057,0.960,0.66,-1.79,1.18,-5.30,-15.66,1203,1203,1166,1172,1240,1234,0,1500,1887,1203,1500,4294967283,0.00,23.22,-5.29,3.71,27.22,0.00,0.66,-1.79,1.18,3.59,-34.81,0.86
65520522,0.248,-0.015,0.986,0.24,-1.96,1.45,-5.26,-15.66,1203,1203,1196,1224,1224,1168,0,1500,1877,1203,1500,4294967284,0.00,22.62,-5.30,3.68,26.79,0.00,0.24,-1.96,1.45,21.80,7.22,-7.67
