t_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,throttle_us,motor_us,m1,m2,m3,m4,mode,rc_roll,rc_pitch,rc_throttle,rc_yaw,rc_age_us,att_sp_roll,att_sp_pitch,att_sp_yaw,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_meas_roll,rate_meas_pitch,rate_meas_yaw,rate_out_roll,rate_out_pitch,rate_out_yaw
54980449,0.107,-0.018,1.028,-0.10,0.01,0.05,-1.28,-5.92,989,1100,1000,1000,1000,1000,0,1500,1500,989,1500,992,0.00,0.00,0.10,1.32,5.82,0.00,-0.24,-0.17,0.10,29.99,8.70,1.34
54984449,0.106,-0.017,1.029,-0.08,0.00,0.06,-1.23,-5.92,989,1100,1000,1000,1000,1000,0,1500,1500,989,1500,991,0.00,0.00,0.10,1.32,5.82,0.00,-0.24,-0.17,0.10,29.99,8.70,1.34
54988449,0.105,-0.017,1.027,-0.08,-0.02,0.07,-1.19,-5.91,989,1100,1000,1000,1000,1000,0,1500,1500,989,1500,989,0.00,0.00,0.10,1.32,5.82,0.00,-0.24,-0.17,0.10,29.99,8.70,1.34
54992449,0.105,-0.017,1.024,-0.08,-0.02,0.07,-1.14,-5.89,989,1100,1000,1000,1000,1000,0,1500,1500,989,1500,989,0.00,0.00,0.10,1.32,5.82,0.00,-0.24,-0.17,0.10,29.99,8.70,1.34
54996449,0.105,-0.018,1.022,-0.07,-0.01,0.08,-1.10,-5.88,989,1100,1000,1000,1000,1000,0,1500,1500,989,1500,992,0.00,0.00,0.10,1.32,5.82,0.00,-0.24,-0.17,0.10,29.99,8.70,1.34
55000449,0.107,-0.021,1.020,-0.06,0.01,0.07,-1.10,-5.91,989,1100,1000,1000,1000,1000,0,1500,1500,989,1500,990,0.00,0.00,0.10,1.32,5.82,0.00,-0.24,-0.17,0.10,29.99,8.70,1.34
55004449,0.110,-0.024,1.022,-0.06,0.00,0.07,-1.13,-5.94,989,1100,1000,1000,1000,1000,0,1500,1500,989,1500,991,0.00,0.00,0.10,1.32,5.82,0.00,-0.24,-0.17,0.10,29.99,8.70,1.34
55008449,0.112,-0.023,1.025,-0.05,-0.02,0.08,-1.16,-5.98,989,1100,1000,1000,1000,1000,0,1500,1500,989,1500,991,0.00,0.00,0.10,1.32,5.82,0.00,-0.24,-0.17,0.10,29.99,8.70,1.34
55012449,0.111,-0.023,1.028,-0.06,-0.00,0.07,-1.18,-6.02,989,1100,1000,1000,1000,1000,0,1500,1500,989,1500,992,0.00,0.00,0.10,1.32,5.82,0.00,-0.24,-0.17,0.10,29.99,8.70,1.34
55016449,0.111,-0.022,1.031,-0.05,-0.02,0.05,-1.20,-6.06,989,1100,1000,1000,1000,1000,0,1500,1500,989,1500,989,0.00,0.00,0.10,1.32,5.82,0.00,-0.24,-0.17,0.10,29.99,8.70,1.34
55020449,0.110,-0.022,1.031,-0.05,-0.02,0.05,-1.24,-6.07,989,1100,1000,1000,1000,1000,0,1500,1500,989,1500,990,0.00,0.00,0.10,1.32,5.82,0.00,-0.24,-0.17,0.10,29.99,8.70,1.34
55024449,0.107,-0.022,1.032,-0.06,-0.01,0.05,-1.23,-6.03,989,1100,1000,1000,1000,1000,0,1500,1500,989,1500,990,0.00,0.00,0.10,1.32,5.82,0.00,-0.24,-0.17,0.10,29.99,8.70,1.34
55028449,0.107,-0.023,1.029,-0.06,-0.01,0.04,-1.25,-5.99,989,1100,1000,1000,1000,1000,0,1500,1500,989,1500,990,0.00,0.00,0.10,1.32,5.82,0.00,-0.24,-0.17,0.10,29.99,8.70,1.34
55032449,0.111,-0.023,1.028,-0.08,-0.00,0.06,-1.27,-6.03,989,1100,1000,1000,1000,1000,0,1500,1500,989,1500,991,0.00,0.00,0.10,1.32,5.82,0.00,-0.24,-0.17,0.10,29.99,8.70,1.34
55036449,0.114,-0.026,1.030,-0.07,-0.02,0.05,-1.29,-6.07,989,1100,1000,1000,1000,1000,0,1500,1500,989,1500,989,0.00,0.00,0.10,1.32,5.82,0.00,-0.24,-0.17,0.10,29.99,8.70,1.34
55040449,0.114,-0.027,1.033,-0.07,-0.03,0.05,-1.32,-6.10,989,1100,1000,1000,1000,1000,0,1500,1500,989,1500,991,0.00,0.00,0.10,1.32,5.82,0.00,-0.24,-0.17,0.10,29.99,8.70,1.34
