t_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,throttle_us,motor_us,m1,m2,m3,m4,mode,rc_roll,rc_pitch,rc_throttle,rc_yaw,rc_age_us,att_sp_roll,att_sp_pitch,att_sp_yaw,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_meas_roll,rate_meas_pitch,rate_meas_yaw,rate_out_roll,rate_out_pitch,rate_out_yaw
6108523,-0.002,0.001,1.002,-0.01,-0.01,-0.02,0.12,0.07,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967283,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6112523,-0.002,-0.000,1.000,-0.01,-0.00,-0.02,0.08,0.09,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6116523,-0.004,0.001,1.000,-0.02,0.00,-0.02,0.08,0.14,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967285,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6120523,-0.005,0.001,0.998,-0.04,-0.01,-0.02,0.07,0.19,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6124523,-0.004,-0.000,0.997,-0.03,-0.02,-0.02,0.04,0.21,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967283,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6128523,-0.003,-0.001,0.998,-0.02,-0.01,-0.03,0.00,0.19,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6132523,-0.003,-0.001,0.998,-0.01,-0.01,-0.01,-0.04,0.18,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967285,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6136523,-0.002,-0.001,0.994,-0.00,-0.00,-0.00,-0.07,0.14,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6140523,-0.002,-0.001,0.994,-0.00,0.01,0.00,-0.07,0.10,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967283,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6144523,-0.001,0.001,0.995,-0.00,0.02,-0.00,-0.02,0.09,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6148523,0.001,0.001,0.998,-0.00,0.02,-0.01,-0.00,0.05,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967285,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6152523,0.002,-0.001,1.000,-0.00,0.01,-0.00,-0.02,0.00,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6156523,0.003,0.000,0.998,0.01,0.02,0.00,-0.01,-0.04,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967283,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6160523,0.002,0.001,0.999,0.01,0.01,0.00,0.01,-0.08,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6164523,0.002,-0.000,0.999,0.02,0.01,0.00,-0.01,-0.12,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967285,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6168523,0.002,-0.002,0.998,0.02,0.01,0.02,-0.05,-0.11,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6172523,0.002,-0.002,0.999,0.01,0.01,-0.00,-0.10,-0.10,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967283,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6176523,0.002,-0.002,1.000,0.02,0.01,-0.01,-0.14,-0.08,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967282,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6180523,-0.000,-0.004,1.001,0.01,0.00,-0.01,-0.17,-0.05,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967285,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6184523,-0.002,-0.004,0.999,-0.01,0.00,-0.02,-0.19,-0.01,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6188523,-0.002,-0.003,1.001,-0.02,0.00,-0.00,-0.18,0.04,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967283,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6192523,-0.002,-0.003,1.003,-0.03,0.01,0.01,-0.17,0.08,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6196523,-0.002,-0.002,1.004,-0.03,0.02,0.01,-0.13,0.11,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967285,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6200523,-0.001,-0.001,1.004,-0.03,0.02,0.02,-0.09,0.08,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6204523,0.000,0.000,1.004,-0.02,0.01,0.02,-0.06,0.05,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967283,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6208523,0.001,0.002,1.006,-0.03,0.01,0.02,-0.02,0.03,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6212523,0.001,0.002,1.007,-0.04,0.00,0.03,0.02,0.01,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967285,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6216523,0.000,0.001,1.009,-0.03,0.00,0.03,0.06,-0.00,1000,1000,1000,1000,1000,1000,0,1500,1500,989,1500,4294967284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
